# min_pT_[GeV]  N_entries

         0        24
    0.0015        41
     0.003        62
    0.0045        92
     0.006        72
    0.0075        93
     0.009       110
    0.0105       118
     0.012       115
    0.0135       133
     0.015       133
    0.0165       150
     0.018       142
    0.0195       135
     0.021       166
    0.0225       163
     0.024       157
    0.0255       181
     0.027       156
    0.0285       209
      0.03       204
    0.0315       193
     0.033       210
    0.0345       206
     0.036       218
    0.0375       233
     0.039       215
    0.0405       229
     0.042       214
    0.0435       242
     0.045       242
    0.0465       275
     0.048       236
    0.0495       245
     0.051       234
    0.0525       247
     0.054       255
    0.0555       244
     0.057       273
    0.0585       270
      0.06       267
    0.0615       289
     0.063       253
    0.0645       297
     0.066       269
    0.0675       318
     0.069       293
    0.0705       300
     0.072       291
    0.0735       310
     0.075       305
    0.0765       303
     0.078       313
    0.0795       312
     0.081       323
    0.0825       301
     0.084       313
    0.0855       283
     0.087       353
    0.0885       338
      0.09       339
    0.0915       332
     0.093       356
    0.0945       341
     0.096       360
    0.0975       332
     0.099       355
    0.1005       341
     0.102       368
    0.1035       343
     0.105       361
    0.1065       400
     0.108       347
    0.1095       343
     0.111       389
    0.1125       415
     0.114       393
    0.1155       332
     0.117       373
    0.1185       362
      0.12       371
    0.1215       353
     0.123       369
    0.1245       407
     0.126       382
    0.1275       398
     0.129       391
    0.1305       375
     0.132       371
    0.1335       381
     0.135       423
    0.1365       398
     0.138       430
    0.1395       405
     0.141       383
    0.1425       376
     0.144       456
    0.1455       413
     0.147       445
    0.1485       427
      0.15       421
    0.1515       420
     0.153       455
    0.1545       424
     0.156       424
    0.1575       431
     0.159       442
    0.1605       457
     0.162       436
    0.1635       441
     0.165       427
    0.1665       448
     0.168       479
    0.1695       459
     0.171       462
    0.1725       465
     0.174       445
    0.1755       462
     0.177       476
    0.1785       425
      0.18       467
    0.1815       433
     0.183       486
    0.1845       455
     0.186       457
    0.1875       511
     0.189       459
    0.1905       476
     0.192       508
    0.1935       486
     0.195       482
    0.1965       498
     0.198       450
    0.1995       465
     0.201       500
    0.2025       492
     0.204       477
    0.2055       486
     0.207       530
    0.2085       473
      0.21       475
    0.2115       502
     0.213       499
    0.2145       446
     0.216       496
    0.2175       467
     0.219       489
    0.2205       518
     0.222       501
    0.2235       490
     0.225       538
    0.2265       515
     0.228       521
    0.2295       518
     0.231       516
    0.2325       556
     0.234       528
    0.2355       537
     0.237       541
    0.2385       528
      0.24       489
    0.2415       518
     0.243       490
    0.2445       515
     0.246       517
    0.2475       499
     0.249       567
    0.2505       551
     0.252       555
    0.2535       578
     0.255       548
    0.2565       564
     0.258       534
    0.2595       503
     0.261       530
    0.2625       573
     0.264       530
    0.2655       570
     0.267       534
    0.2685       542
      0.27       559
    0.2715       586
     0.273       587
    0.2745       586
     0.276       546
    0.2775       561
     0.279       554
    0.2805       550
     0.282       557
    0.2835       552
     0.285       583
    0.2865       563
     0.288       550
    0.2895       558
     0.291       568
    0.2925       610
     0.294       551
    0.2955       598
     0.297       577
    0.2985       562
       0.3       603
    0.3015       569
     0.303       577
    0.3045       631
     0.306       568
    0.3075       589
     0.309       553
    0.3105       578
     0.312       584
