# min_pT_[GeV]  N_entries

         0      9101
    0.0015     17520
     0.003     21104
    0.0045     23630
     0.006     25282
    0.0075     26879
     0.009     27598
    0.0105     28339
     0.012     28863
    0.0135     29345
     0.015     29724
    0.0165     29666
     0.018     29792
    0.0195     29776
     0.021     29682
    0.0225     29775
     0.024     29326
    0.0255     29484
     0.027     28801
    0.0285     28660
      0.03     28341
    0.0315     27849
     0.033     27735
    0.0345     27119
     0.036     26734
    0.0375     26469
     0.039     26299
    0.0405     25778
     0.042     25496
    0.0435     24758
     0.045     24151
    0.0465     23804
     0.048     23566
    0.0495     22930
     0.051     22782
    0.0525     22084
     0.054     22059
    0.0555     21340
     0.057     20979
    0.0585     20797
      0.06     20226
    0.0615     19618
     0.063     19584
    0.0645     18820
     0.066     18565
    0.0675     17958
     0.069     17933
    0.0705     17656
     0.072     17111
    0.0735     16932
     0.075     16653
    0.0765     16139
     0.078     16027
    0.0795     16050
     0.081     15737
    0.0825     15640
     0.084     15239
    0.0855     15065
     0.087     15060
    0.0885     14986
      0.09     14698
    0.0915     14935
     0.093     14701
    0.0945     14207
     0.096     14523
    0.0975     14564
     0.099     14497
    0.1005     14531
     0.102     14646
    0.1035     15073
     0.105     15147
    0.1065     15402
     0.108     16364
    0.1095     17398
     0.111     19504
    0.1125     22359
     0.114     21493
    0.1155     18510
     0.117     16801
    0.1185     15786
      0.12     14948
    0.1215     14593
     0.123     13790
    0.1245     13354
     0.126     12826
    0.1275     12650
     0.129     12215
    0.1305     11993
     0.132     11909
    0.1335     11380
     0.135     11343
    0.1365     11239
     0.138     11173
    0.1395     10976
     0.141     11089
    0.1425     11056
     0.144     10085
    0.1455      5893
     0.147      1124
    0.1485        39
      0.15         0
    0.1515         0
     0.153         0
    0.1545         0
     0.156         0
