# m_[GeV]   UL*epsilon_[fb] 

 0.211        0.544
 0.213        0.567
 0.215        0.678
 0.217        0.567
 0.219        0.57
 0.221        0.543
 0.223        0.228
 0.225        0.505
 0.227        0.659
 0.229        0.473
 0.231        0.559
 0.233        0.489
 0.235        0.394
 0.237        0.369
 0.239        0.118
 0.241        0.15
 0.243        0.327
 0.245        0.168
 0.247        0.0849
 0.249        0.181
 0.251        0.192
 0.253        0.321
 0.255        0.325
 0.257        0.577
 0.259        0.233
 0.261        0.357
 0.263        0.345
 0.265        0.342
 0.267        0.315
 0.269        0.277
 0.271        0.373
 0.273        0.284
 0.275        0.233
 0.277        0.207
 0.279        0.177
 0.281        0.381
 0.283        0.4
 0.285        0.395
 0.287        0.591
 0.289        0.634
 0.291        0.743
 0.293        0.561
 0.295        0.523
 0.297        0.628
 0.299        0.514
 0.301        0.469
 0.303        0.407
 0.305        0.554
 0.307        0.735
 0.309        0.663
 0.311        0.497
 0.313        0.294
 0.315        0.281
 0.317        0.482
 0.319        0.269
 0.321        0.338
 0.323        0.412
 0.325        0.337
 0.327        0.413
 0.329        0.385
 0.331        0.234
 0.333        0.326
 0.335        0.417
 0.337        0.577
 0.339        0.619
 0.341        0.375
 0.343        0.367
 0.345        0.332
 0.347        0.29
 0.349        0.31
 0.351        0.383
 0.353        0.324
 0.355        0.372
 0.357        0.529
 0.359        0.343
 0.361        0.467
 0.363        0.627
 0.365        0.522
 0.367        0.396
 0.369        0.48
   0.5        0.1173
 0.502        0.1794
 0.504        0.168
 0.506        0.1747
 0.508        0.1683
  0.51        0.1658
 0.512        0.1427
 0.514        0.1333
 0.516        0.1286
 0.518        0.1271
  0.52        0.123
 0.522        0.1299
 0.524        0.1507
 0.526        0.1606
 0.528        0.1655
  0.53        0.1611
 0.532        0.1601
 0.534        0.1528
 0.536        0.1404
 0.538        0.131
  0.54        0.1216
 0.542        0.1053
 0.544        0.08702
 0.546        0.08752
 0.548        0.07788
  0.55        0.1661
 0.552        0.1717
 0.554        0.1351
 0.556        0.1271
 0.558        0.1173
  0.56        0.1181
 0.562        0.1225
 0.564        0.1236
 0.566        0.1253
 0.568        0.123
  0.57        0.1417
 0.572        0.141
 0.574        0.1284
 0.576        0.1012
 0.578        0.1132
  0.58        0.07866
 0.582        0.1428
 0.584        0.2375
 0.586        0.198
 0.588        0.1914
  0.59        0.1823
 0.592        0.1622
 0.594        0.1467
 0.596        0.1322
 0.598        0.1135
   0.6        0.1003
 0.602        0.09304
 0.604        0.08491
 0.606        0.07819
 0.608        0.07589
  0.61        0.07678
 0.612        0.06795
 0.614        0.07067
 0.616        0.06967
 0.618        0.08
  0.62        0.1281
 0.622        0.1535
 0.624        0.1745
 0.626        0.1834
 0.628        0.1787
  0.63        0.1734
 0.632        0.1651
 0.634        0.147
 0.636        0.1272
 0.638        0.109
  0.64        0.09774
 0.642        0.08917
 0.644        0.07683
 0.646        0.07407
 0.648        0.06536
  0.65        0.08849
 0.652        0.1101
 0.654        0.08862
 0.656        0.09627
 0.658        0.08442
  0.66        0.066
 0.662        0.05751
 0.664        0.06413
 0.666        0.09656
 0.668        0.1633
  0.67        0.1399
 0.672        0.1477
 0.674        0.1648
 0.676        0.1971
 0.678        0.2076
  0.68        0.202
 0.682        0.1908
 0.684        0.1645
 0.686        0.1362
 0.688        0.1329
  0.69        0.1394
 0.692        0.1506
 0.694        0.1679
 0.696        0.1819
 0.698        0.179
   0.7        0.164
 0.702        0.1534
 0.704        0.143
 0.706        0.1395
 0.708        0.1326
  0.71        0.1209
 0.712        0.1136
 0.714        0.1046
 0.716        0.1027
 0.718        0.1059
  0.72        0.1077
 0.722        0.09611
 0.724        0.09829
 0.726        0.09006
 0.728        0.08563
  0.73        0.09863
 0.732        0.101
 0.734        0.1291
 0.736        0.1371
 0.738        0.143
  0.74        0.1594
 0.742        0.1703
 0.744        0.1739
 0.746        0.1652
 0.748        0.1493
  0.75        0.1304
 0.752        0.1159
 0.754        0.1083
 0.756        0.1256
 0.758        0.1033
  0.76        0.09742
 0.762        0.08719
 0.764        0.08874
 0.766        0.117
 0.768        0.1838
  0.77        0.1923
 0.772        0.1885
 0.774        0.195
 0.776        0.1905
 0.778        0.1747
  0.78        0.1529
 0.782        0.1359
 0.784        0.116
 0.786        0.09666
 0.788        0.0872
  0.79        0.08609
 0.792        0.09634
 0.794        0.1198
 0.796        0.09435
 0.798        0.09174
   0.8        0.09399
 0.802        0.09111
 0.804        0.09084
 0.806        0.09054
 0.808        0.08855
  0.81        0.08957
 0.812        0.09341
 0.814        0.09337
 0.816        0.0934
 0.818        0.09442
  0.82        0.1014
 0.822        0.09869
 0.824        0.0992
 0.826        0.1064
 0.828        0.1148
  0.83        0.1195
 0.832        0.1203
 0.834        0.1209
 0.836        0.1199
 0.838        0.1106
  0.84        0.09567
 0.842        0.08742
 0.844        0.08731
 0.846        0.06515
 0.848        0.05896
  0.85        0.05739
 0.852        0.05821
 0.854        0.05985
 0.856        0.05553
 0.858        0.05961
  0.86        0.06478
 0.862        0.07352
 0.864        0.0732
 0.866        0.07779
 0.868        0.08569
  0.87        0.09107
 0.872        0.09082
 0.874        0.09305
 0.876        0.09439
 0.878        0.0927
  0.88        0.09537
 0.882        0.097
 0.884        0.0974
 0.886        0.09847
 0.888        0.101
  0.89        0.08683
 0.892        0.08603
 0.894        0.0917
 0.896        0.1
 0.898        0.1067
   0.9        0.1129
 0.902        0.1148
 0.904        0.1164
 0.906        0.1287
 0.908        0.1703
  0.91        0.2148
 0.912        0.2203
 0.914        0.2251
 0.916        0.2222
 0.918        0.2128
  0.92        0.1916
 0.922        0.169
 0.924        0.1466
 0.926        0.1226
 0.928        0.1241
  0.93        0.1423
 0.932        0.1389
 0.934        0.1393
 0.936        0.1437
 0.938        0.1411
  0.94        0.1398
 0.942        0.1339
 0.944        0.1326
 0.946        0.131
 0.948        0.1255
  0.95        0.1131
 0.952        0.1087
 0.954        0.1027
 0.956        0.09361
 0.958        0.08426
  0.96        0.07911
