#m(phi) [GeV]	alpha
0.031084	1.2816
0.041734	1.4800
0.061576	1.4328
0.080948	1.5968
0.11572	1.4917
0.15698	1.5491
0.21070	1.4464
0.21047	0.71218
0.21234	0.23752
0.21209	0.10895
0.22096	0.053663
0.22538	0.023763
0.23241	0.013971
0.24479	0.0088187
0.25523	0.0073896
0.27748	0.0051886
0.28031	0.0040494
0.28022	0.0032741
0.28901	0.0021408
0.29814	0.0016129
0.31745	0.0013047
0.34516	0.00098334
0.35977	0.00066621
0.39949	0.00050221
0.43895	0.00037855
0.48735	0.00026584
0.53540	0.00018018
0.54643	0.00011780
0.51822	0.000088697
0.48137	0.000079709
0.42424	0.000071603
0.38594	0.000071551
0.36236	0.000074095
0.35096	0.000055797
0.32608	0.000057776
0.29353	0.000057729
0.28453	0.000073958
0.27575	0.000085196
0.25623	0.000094695
0.23812	0.00011705
0.22601	0.00014994
0.22146	0.00023760
0.21933	0.00040418
0.21715	0.00057595
0.21276	0.00085026
0.21060	0.0010515
0.19362	0.0010888
0.16889	0.0011268
0.14579	0.0012082
0.12323	0.0012952
0.11212	0.0013893
0.097803	0.0014897
0.088973	0.0014886
0.077610	0.0015407
0.064914	0.0016516
0.056627	0.0017709
0.049395	0.0018329
0.042641	0.0020361
0.035669	0.0023428
0.031112	0.0023404
0.030990	0.17628
0.031401	1.0002
